 ID   Name                long    lat    r       ri     rHa   J       err_J  JH     err_JH HK     err_HK  W1      err_W1   W1W2   err_W1W2 iW1    err_iW1  JW1    err_JW1 LP    FF
  1   J002441.72+642137.9 120.04   1.64  14.75   0.83   0.61  12.51   0.02   0.30   0.04   0.26   0.04    11.79   0.02     0.11   0.03     2.13   0.03     0.72   0.03    True  False
  2   J002758.97+622906.1 120.23  -0.26  15.03   0.59   0.46  13.30   0.02   0.34   0.04   0.24   0.05    12.32   0.02     0.26   0.03     2.12   0.03     0.99   0.03    False True 
  3   J002843.24+615216.2 120.26  -0.88  14.38   0.48   0.42  13.16   0.02   0.17   0.04   0.20   0.05    12.58   0.03     0.18   0.04     1.32   0.03     0.58   0.03    False True 
  4   J002926.93+630450.2 120.45   0.32  14.07   0.40   0.36  13.11   0.02   0.12   0.04   0.18   0.04    12.87   0.03     0.01   0.04     0.80   0.03     0.24   0.03    True  True 
  5   J003210.31+623929.2 120.72  -0.13  13.39   0.47   0.51  12.33   0.02   0.22   0.04   0.15   0.04    11.37   0.02     0.32   0.03     1.55   0.03     0.96   0.03    False True 
  6   J003248.02+664759.6 121.09   3.99  14.41   1.02   0.85  12.11   0.02   0.55   0.03   0.36   0.03    10.45   0.02     0.29   0.03     2.93   0.03     1.66   0.03    True  True 
  7   J003559.27+664503.3 121.40   3.92  15.85   0.71   0.60  14.11   0.04   0.40   0.06   0.46   0.06    12.30   0.03     0.50   0.03     2.85   0.03     1.82   0.05    True  True 
  8   J004014.89+651644.0 121.76   2.43  14.82   0.68   0.77  12.95   0.02   0.29   0.04   0.26   0.05    12.09   0.02     0.22   0.03     2.05   0.03     0.86   0.03    True  False
  9   J004121.36+650413.5 121.87   2.22  13.80   0.67   0.50  12.21   0.02   0.38   0.04   0.38   0.04    10.41   0.02     0.38   0.03     2.72   0.03     1.80   0.03    False True 
 10   J004517.05+640124.4 122.26   1.16  15.61   0.95   0.64  13.37   0.02   0.41   0.04   0.38   0.04    11.92   0.02     0.27   0.03     2.75   0.03     1.45   0.03    True  True 
 11   J004620.80+622503.9 122.34  -0.45  13.18   0.63   0.54  11.98   0.02   0.26   0.04   0.28   0.04    10.79   0.02     0.24   0.03     1.77   0.03     1.19   0.03    False True 
 12   J004651.68+625914.7 122.41   0.12  14.88   0.60   0.45  13.32   0.02   0.22   0.04   0.26   0.05    12.79   0.03     0.14   0.04     1.49   0.03     0.53   0.04    True  True 
 13   J004741.54+624203.3 122.50  -0.17  14.15   0.46   0.43  13.01   0.02   0.20   0.04   0.13   0.04    12.50   0.02     0.14   0.04     1.20   0.03     0.51   0.03    False True 
 14   J004842.93+644411.1 122.64   1.87  14.74   0.58   0.42  13.33   0.03   0.36   0.04   0.09   0.04    12.72   0.03     0.13   0.04     1.45   0.03     0.61   0.04    False True 
 15   J004850.12+642533.7 122.65   1.56  15.64   0.86   0.56  13.92   0.03   0.35   0.05   0.15   0.06    12.95   0.03     0.29   0.04     1.84   0.03     0.98   0.04    False True 
 16   J005011.87+635129.9 122.80   0.99  13.75   0.40   0.53  12.75   0.03   0.19   0.04   0.11   0.04    12.28   0.02     0.11   0.04     1.08   0.03     0.47   0.04    False True 
 17   J005011.87+633526.1 122.79   0.72  15.38   0.64   0.60  13.69   0.02   0.28   0.04   0.37   0.05    12.86   0.03     0.24   0.04     1.87   0.03     0.83   0.03    True  True 
 18   J005012.69+645621.6 122.80   2.07  14.14   0.56   0.49  12.65   0.03   0.30   0.05   0.14   0.05    11.90   0.02     0.17   0.04     1.69   0.03     0.76   0.04    True  True 
 19   J005029.22+653331.1 122.83   2.69  14.63   0.70   0.65  12.97   0.03   0.26   0.04   0.30   0.04    11.99   0.02     0.23   0.03     1.94   0.03     0.98   0.03    True  True 
 20   J005032.31+623155.5 122.83  -0.34  15.43   0.59   0.47  13.95   0.05   0.31   0.08   0.21   0.08    12.92   0.03     0.12   0.04     1.92   0.03     1.03   0.06    False True 
 21   J005436.84+630549.8 123.29   0.23  14.91   0.64   0.75  13.30   0.03   0.33   0.05   0.36   0.05    12.11   0.02     0.32   0.03     2.17   0.03     1.19   0.03    True  True 
 22   J005611.62+630350.5 123.47   0.20  14.40   0.55   0.46  12.95   0.02   0.18   0.03   0.18   0.03    12.47   0.02     0.08   0.03     1.38   0.03     0.47   0.03    True  True 
 23   J005619.50+625824.0 123.49   0.11  14.63   0.42   0.37  13.46   0.02   0.23   0.03   0.20   0.04    13.02   0.03     0.16   0.04     1.20   0.03     0.44   0.03    True  True 
 24   J005743.72+640235.6 123.62   1.18  14.18   0.45   0.40  13.07   0.02   0.20   0.04   0.13   0.04    12.74   0.03     0.12   0.04     0.99   0.03     0.34   0.03    False True 
 25   J005809.86+624412.9 123.70  -0.12  14.67   0.50   0.56  13.32   0.02   0.27   0.04   0.15   0.03    12.73   0.03     0.17   0.04     1.43   0.03     0.59   0.03    False True 
 26   J005859.24+632603.0 123.78   0.57  13.18   0.45   0.72  12.06   0.02   0.30   0.04   0.25   0.03    11.22   0.02     0.27   0.03     1.50   0.03     0.84   0.03    False True 
 27   J005926.64+651157.0 123.77   2.34  13.45   0.49   0.54  12.06   0.02   0.21   0.04   0.14   0.04    11.55   0.02     0.12   0.03     1.41   0.03     0.52   0.03    False True 
 28   J010045.61+631740.4 123.98   0.44  15.43   0.77   0.63  13.53   0.02   0.32   0.04   0.29   0.05    12.57   0.03     0.27   0.04     2.09   0.03     0.96   0.03    True  True 
 29   J010051.26+641327.3 123.96   1.37  13.61   0.53   0.42  12.37   0.02   0.19   0.03   0.14   0.04    11.86   0.02     0.13   0.03     1.22   0.03     0.51   0.03    False True 
 30   J010054.58+643729.6 123.95   1.77  13.02   0.61   0.57  11.30   0.03   0.34   0.04   0.19   0.04    10.35   0.02     0.25   0.03     2.05   0.03     0.95   0.04    False True 
 31   J010107.85+633227.0 124.01   0.69  13.84   0.57   0.49  12.47   0.02   0.22   0.03   0.18   0.04    11.89   0.02     0.18   0.03     1.39   0.03     0.58   0.03    False True 
 32   J010138.04+641349.9 124.04   1.38  13.32   0.63   0.71  11.74   0.02   0.34   0.03   0.24   0.03    10.80   0.02     0.28   0.03     1.90   0.03     0.94   0.03    False True 
 33   J010707.68+625117.0 124.72   0.04  14.57   0.74   0.58  12.65   0.02   0.38   0.03   0.24   0.03    11.71   0.02     0.25   0.03     2.12   0.03     0.95   0.03    True  True 
 34   J010841.17+615511.8 124.96  -0.88  13.72   0.38   0.44  12.84   0.02   0.10   0.03   0.14   0.04    12.60   0.02     0.12   0.04     0.75   0.03     0.24   0.03    False True 
 35   J010958.80+625229.3 125.04   0.08  14.00   0.85   0.65  12.44   0.02   0.47   0.04   0.40   0.04    10.95   0.02     0.32   0.03     2.20   0.03     1.49   0.03    True  True 
 36   J011216.30+615051.2 125.39  -0.92  13.56   0.35   0.27  12.65   0.02   0.14   0.03   0.10   0.03    12.35   0.02    -0.02   0.04     0.87   0.03     0.30   0.03    False True 
 37   J011234.21+630432.5 125.32   0.30  12.64   0.67   0.62  10.94   0.02   0.27   0.03   0.24   0.03    10.34   0.02     0.23   0.03     1.63   0.03     0.60   0.03    False True 
 38   J011402.43+625735.3 125.50   0.20  12.91   0.56   0.34  11.41   0.02   0.27   0.03   0.25   0.03       ""     ""       ""     ""       ""     ""       ""     ""    False True 
 39   J011543.99+660116.2 125.40   3.27  14.21   0.94   1.11  11.95   0.02   0.49   0.04   0.40   0.04    10.46   0.02     0.37   0.03     2.81   0.03     1.49   0.03    True  True 
 40   J011604.41+630926.7 125.71   0.42  14.83   0.76   0.54  12.93   0.02   0.31   0.03   0.16   0.03    11.91   0.02     0.28   0.03     2.16   0.03     1.02   0.03    False True 
 41   J011918.18+642233.8 125.94   1.67  13.44   0.55   0.71  12.22   0.02   0.29   0.03   0.23   0.03    11.23   0.02     0.30   0.03     1.66   0.03     0.99   0.03    False True 
 42   J012158.75+642813.1 126.22   1.79  14.35   0.67   0.74  12.74   0.03   0.29   0.05   0.33   0.05    11.66   0.02     0.29   0.03     2.01   0.03     1.07   0.04    True  True 
 43   J012320.11+635830.9 126.42   1.32  14.08   0.89   0.97  11.89   0.02   0.47   0.03   0.40   0.03    10.51   0.02     0.36   0.03     2.68   0.03     1.38   0.03    True  True 
 44   J012325.80+642638.7 126.37   1.79  16.32   0.67   0.57  14.60   0.03   0.27   0.05   0.11   0.08    14.10   0.03     0.03   0.06     1.56   0.04     0.51   0.04    False True 
 45   J012339.47+631544.2 126.55   0.62  15.04   0.80   0.61  12.97   0.02   0.45   0.03   0.29   0.03    11.90   0.02     0.21   0.03     2.33   0.03     1.07   0.03    False True 
 46   J012339.76+635313.0 126.47   1.24  15.07   0.82   0.75  12.96   0.02   0.41   0.03   0.35   0.03    11.99   0.02     0.26   0.03     2.26   0.03     0.96   0.03    True  True 
 47   J012358.07+652615.4 126.31   2.78  13.72   0.47   0.47  12.51   0.02   0.18   0.03   0.14   0.03    12.07   0.02     0.12   0.03     1.17   0.03     0.43   0.03    False True 
 48   J012405.46+660100.0 126.25   3.36  15.09   0.63   0.57  13.45   0.03   0.27   0.04   0.21   0.04    12.67   0.03     0.19   0.04     1.79   0.03     0.78   0.04    True  True 
 49   J012416.76+633011.7 126.59   0.86  13.10   0.66   0.49  11.53   0.02   0.31   0.03   0.16   0.02    10.80   0.02     0.17   0.03     1.64   0.03     0.73   0.03    False True 
 50   J012540.54+623025.6 126.87  -0.10  13.42   0.48   0.52  12.05   0.02   0.22   0.02   0.19   0.02    11.58   0.02     0.24   0.03     1.37   0.03     0.48   0.03    True  True 
 51   J012609.29+651618.0 126.55   2.64  14.79   0.87   0.62  12.79   0.03   0.45   0.04   0.36   0.03    11.46   0.02     0.34   0.03     2.46   0.03     1.33   0.04    True  True 
 52   J012634.69+641850.9 126.73   1.70  12.77   0.64   0.55  11.07   0.02   0.30   0.04   0.23   0.04    10.56   0.02     0.29   0.03     1.56   0.03     0.51   0.03    False True 
 53   J012703.28+634333.3 126.86   1.13  14.05   0.81   0.81  11.60   0.02   0.37   0.04   0.40   0.04    10.86   0.02     0.28   0.03     2.38   0.03     0.74   0.03    True  True 
 54   J012745.08+625154.3 127.06   0.28  13.46   0.45   0.58  12.04   0.02   0.24   0.03   0.21   0.04    11.25   0.02     0.27   0.03     1.76   0.03     0.80   0.03    False True 
 55   J012751.32+655104.2 126.65   3.24  14.51   0.71   0.75  12.77   0.02   0.37   0.04   0.28   0.04    11.67   0.02     0.27   0.03     2.14   0.03     1.10   0.03    True  True 
 56*  J013000.21+631044.6 127.27   0.63  13.76   1.02   1.09  11.33   0.02   0.56   0.03   0.53   0.04    10.32   0.02     0.50   0.03     2.42   0.03     1.01   0.03    False True 
 57   J013213.90+623717.2 127.60   0.12  13.32   0.54   0.43  11.96   0.02   0.22   0.04   0.17   0.03    11.37   0.02     0.19   0.03     1.42   0.03     0.59   0.03    False True 
 58   J013245.71+645233.3 127.30   2.36  15.42   0.76   1.02  13.31   0.03   0.47   0.04   0.40   0.05    11.68   0.02     0.32   0.03     2.99   0.03     1.63   0.04    True  True 
 59   J013422.61+624459.7 127.82   0.29  12.92   0.39   0.61  11.90   0.02   0.14   0.04   0.26   0.03    11.57   0.02     0.25   0.03     0.96   0.03     0.33   0.03    False True 
 60   J013739.40+613258.8 128.41  -0.83  14.31   0.63   0.50  12.73   0.03   0.31   0.04   0.16   0.04    12.26   0.02     0.06   0.03     1.42   0.03     0.47   0.04    False True 
 61   J013819.58+635306.0 128.06   1.48  12.98   0.61   0.91  11.50   0.03   0.31   0.04   0.34   0.03    10.34   0.02     0.29   0.03     2.03   0.03     1.16   0.03    False True 
 62   J013825.56+635008.5 128.08   1.43  13.96   0.53   0.47  12.70   0.03   0.24   0.04   0.11   0.04    12.01   0.02     0.16   0.03     1.42   0.03     0.69   0.04    False True 
 63   J013834.27+634841.3 128.10   1.41  15.28   0.65   0.56  14.16   0.03   0.17   0.05   0.15   0.07    12.80   0.03     0.26   0.04     1.82   0.04     1.36   0.04    False True 
 64   J013920.80+654338.7 127.83   3.31  13.64   0.61   0.47  12.20   0.02   0.24   0.04   0.18   0.04    11.75   0.02     0.11   0.03     1.28   0.03     0.45   0.03    False True 
 65   J014218.76+624733.5 128.71   0.49  14.56   0.60   0.50  12.90   0.03   0.30   0.04   0.23   0.04    12.08   0.02     0.17   0.03     1.88   0.03     0.82   0.03    True  True 
 66   J014238.73+633753.1 128.58   1.32  13.18   0.40   0.37  12.03   0.02   0.22   0.03   0.12   0.03    11.68   0.02     0.08   0.03     1.10   0.03     0.35   0.03    False True 
 67   J014244.86+623056.2 128.81   0.23  13.22   0.38   0.40  12.06   0.02   0.22   0.03   0.14   0.03    11.52   0.02     0.15   0.03     1.33   0.03     0.54   0.03    False True 
 68   J014322.19+640118.5 128.58   1.72  13.29   0.37   0.48  12.30   0.02   0.16   0.04   0.16   0.04    11.77   0.03     0.24   0.05     1.16   0.04     0.53   0.04    False True 
 69   J014401.85+640124.5 128.65   1.74  15.49   0.54   0.53  14.07   0.03   0.33   0.05   0.18   0.05       ""     ""       ""     ""       ""     ""       ""     ""    False True 
 70   J014458.15+633244.0 128.85   1.29  13.99   0.42   0.43  12.89   0.02   0.18   0.04   0.16   0.04    12.34   0.02     0.16   0.03     1.23   0.03     0.56   0.03    True  True 
 71   J014458.27+625245.8 128.99   0.64  13.35   0.59   0.61  11.71   0.02   0.34   0.04   0.28   0.04    10.66   0.02     0.26   0.03     2.09   0.03     1.04   0.03    False True 
 72   J014519.02+633559.1 128.88   1.35  13.13   0.42   0.55  12.27   0.02   0.21   0.04   0.22   0.04    11.27   0.02     0.29   0.03     1.44   0.03     1.00   0.03    False True 
 73   J014539.64+611259.1 129.41  -0.97  12.45   0.76   0.74  10.92   0.02   0.19   0.03   0.24   0.03    10.23   0.02     0.29   0.03     1.45   0.03     0.69   0.03    False True 
 74   J014602.11+611502.2 129.45  -0.93  13.75   0.55   0.71  12.39   0.03   0.26   0.05   0.25   0.04    11.68   0.03     0.33   0.04     1.51   0.04     0.71   0.04    False True 
 75   J014620.49+644802.5 128.74   2.55  14.41   0.48   0.43  13.25   0.03   0.23   0.04   0.17   0.04    12.66   0.03     0.21   0.04     1.27   0.03     0.59   0.04    True  True 
 76   J014624.42+611037.3 129.51  -0.99  13.36   0.45   0.34  12.22   0.02   0.17   0.04   0.14   0.04    11.93   0.03     0.02   0.04     0.99   0.03     0.30   0.03    False True 
 77   J014807.07+631613.2 129.25   1.10  13.54   0.60   0.69  11.92   0.02   0.25   0.03   0.38   0.03    10.77   0.04     0.32   0.05     2.18   0.04     1.15   0.04    False True 
 78   J014843.39+642854.4 129.05   2.29  13.74   0.45   0.49  12.66   0.02   0.24   0.04   0.15   0.04    12.04   0.02     0.14   0.03     1.25   0.03     0.62   0.03    False True 
 79   J014905.20+624912.3 129.46   0.68  13.60   0.81   0.68  11.49   0.02   0.34   0.04   0.48   0.04     9.97   0.02     0.26   0.03     2.82   0.03     1.51   0.03    True  True 
 80   J015001.17+642219.7 129.21   2.22  15.76   0.56   0.45  14.14   0.02   0.29   0.05   0.14   0.06    13.39   0.03     0.12   0.04     1.81   0.03     0.75   0.04    False True 
 81   J015022.92+652743.2 129.01   3.29  13.79   0.51   0.42  12.55   0.02   0.26   0.03   0.28   0.03    12.16   0.02     0.22   0.03     1.12   0.03     0.38   0.03    False True 
 82   J015030.72+634132.5 129.42   1.57  15.70   0.60   0.50  13.84   0.03   0.40   0.04   0.24   0.04    12.89   0.03     0.20   0.04     2.20   0.03     0.94   0.04    False True 
 83   J015037.70+644447.0 129.19   2.60  14.64   0.40   0.39  13.52   0.03   0.21   0.04   0.22   0.04    13.36   0.03    -0.07   0.05     0.88   0.03     0.17   0.04    True  True 
 84   J015105.68+611602.6 130.04  -0.78  13.71   0.50   0.37  12.50   0.03   0.24   0.04   0.18   0.03    12.02   0.02     0.09   0.03     1.19   0.03     0.48   0.03    False True 
 85   J015109.13+641421.8 129.36   2.12  15.71   0.57   0.48  14.27   0.03   0.33   0.05   0.08   0.06    13.80   0.03     0.16   0.05     1.33   0.04     0.47   0.04    False True 
 86   J015213.08+624813.6 129.81   0.75  13.04   0.31   0.35  12.11   0.02   0.12   0.03   0.11   0.03    11.70   0.02     0.09   0.03     1.03   0.03     0.40   0.03    False True 
 87   J015221.93+635739.6 129.56   1.88  14.29   0.56   0.61  12.79   0.02   0.27   0.04   0.30   0.04    11.87   0.02     0.29   0.03     1.86   0.03     0.92   0.03    False True 
