ID   SpT     S/N SpT     S/N ri_c ri_o  Eri  err_Eri EW(Ha) fD   Eri_cs Eri_is err_Eri_is EBV_is err_EBV_is R13  err_R13 086_SFD98 RF09 Sale14
  1  B5III   38  ""      ""  0.84 -0.08 0.92 0.01   -25     0.08 0.11   0.81   0.04       1.25   0.06       1.36 0.08    1.30      0.45 1.30
  2  ""      ""  Mid-B   29  0.60 -0.08 0.68 0.05   -16     0.05 0.07   0.61   0.06       0.94   0.09       ""   ""      1.37      0.35 1.13
  3  ""      ""  Late-B  16  0.48 -0.04 0.52 0.04   -15     0.05 0.09   0.43   0.05       0.66   0.08       ""   ""      0.81      0.27 0.79
  4  B7V     66  B6      56  0.41 -0.06 0.47 0.02   -11     0.04 0.07   0.40   0.04       0.62   0.06       0.64 0.07    1.36      0.34 1.23
  5  ""      ""  B6      44  0.48 -0.07 0.55 0.01   -25     0.08 0.12   0.43   0.04       0.66   0.06       ""   ""      1.63      0.35 1.14
  6  B3III   31  Early-B 38  1.06 -0.12 1.18 0.02   -51     0.17 0.19   0.99   0.05       1.52   0.08       1.54 0.08    1.57      0.74 1.59
  7  A0V     26  Late-B  26  0.73  0.00 0.73 0.02   -28     0.09 0.19   0.54   0.05       0.83   0.08       0.98 0.09    1.53      0.63 1.55
  8  B2V     34  ""      ""  0.71 -0.13 0.84 0.02   -52     0.17 0.18   0.66   0.04       1.02   0.06       1.07 0.08    1.33      0.34 1.17
  9  ""      ""  Early-B 29  0.68 -0.13 0.81 0.05   -17     0.06 0.07   0.74   0.05       1.14   0.08       ""   ""      1.32      0.53 1.15
 10  B3V     24  Early-B 25  0.96 -0.12 1.08 0.02   -26     0.09 0.11   0.97   0.04       1.49   0.06       1.34 0.10    1.30      0.48 1.29
 11  ""      ""  Mid-B   48  0.64 -0.08 0.71 0.05   -23     0.08 0.11   0.60   0.06       0.92   0.09       ""   ""      1.30      0.41 1.23
